,uid,iid,rui,est,details,Iu,Ui,err
8288,152249,0553263226,0.0,0.0,{'was_impossible': False},43,50,0.0
1475,264317,0345420748,0.0,0.0,{'was_impossible': False},96,17,0.0
31178,244349,0553580388,0.0,0.0,{'was_impossible': False},45,20,0.0
5212,265313,0425165701,0.0,0.0,{'was_impossible': False},215,38,0.0
8191,170518,0446608602,0.0,0.0,{'was_impossible': False},156,34,0.0
20693,238526,0425191184,0.0,0.0,{'was_impossible': False},71,29,0.0
23812,76352,0446610550,0.0,0.0,{'was_impossible': False},487,47,0.0
11407,112026,0425165701,0.0,0.0,{'was_impossible': False},130,38,0.0
34226,198711,0451124383,0.0,0.0,{'was_impossible': False},356,29,0.0
644,234623,0553272837,0.0,0.0,{'was_impossible': False},235,37,0.0
12243,73394,0821769340,0.0,0.0,{'was_impossible': False},233,36,0.0
10413,76352,0345345738,0.0,0.0,{'was_impossible': False},487,29,0.0
5287,36836,0553275976,0.0,0.0,{'was_impossible': False},160,94,0.0
8893,143792,0451202341,0.0,0.0,{'was_impossible': False},69,70,0.0
26701,265313,0425147584,0.0,0.0,{'was_impossible': False},215,66,0.0
30212,234623,0061099694,0.0,0.0,{'was_impossible': False},235,30,0.0
21568,85701,0446365505,0.0,0.0,{'was_impossible': False},87,49,0.0
30211,73394,051512608X,0.0,0.0,{'was_impossible': False},233,65,0.0
6977,35050,0345404114,0.0,0.0,{'was_impossible': False},142,54,0.0
23814,269566,0061092045,0.0,0.0,{'was_impossible': False},266,36,0.0
14139,212898,0425172546,0.0,0.0,{'was_impossible': False},194,76,0.0
34215,251613,0671741195,0.0,0.0,{'was_impossible': False},130,51,0.0
31454,35050,0440241073,0.0,0.0,{'was_impossible': False},142,142,0.0
34166,262399,0671001701,0.0,0.0,{'was_impossible': False},164,30,0.0
32792,198711,0425179885,0.0,0.0,{'was_impossible': False},356,43,0.0
21551,262399,0553583980,0.0,0.0,{'was_impossible': False},164,45,0.0
25522,150968,0743203631,0.0,0.0,{'was_impossible': False},110,39,0.0
4561,198711,0385494246,0.0,0.0,{'was_impossible': False},356,30,0.0
30254,238120,0373250282,0.0,0.0,{'was_impossible': False},325,41,0.0
1643,269719,0446611808,0.0,0.0,{'was_impossible': False},97,59,0.0
26685,102967,0140092323,0.0,0.0,{'was_impossible': False},383,56,0.0
25520,238120,0312283709,0.0,0.0,{'was_impossible': False},325,25,0.0
30237,51094,0671749412,0.0,0.0,{'was_impossible': False},63,37,0.0
25515,198711,0515120871,0.0,0.0,{'was_impossible': False},356,30,0.0
19340,23768,0345386108,0.0,0.0,{'was_impossible': False},336,68,0.0
23805,271284,0425177351,0.0,0.0,{'was_impossible': False},129,30,0.0
14134,134516,0345422317,0.0,0.0,{'was_impossible': False},17,46,0.0
19343,217375,0140244824,0.0,0.0,{'was_impossible': False},231,105,0.0
6128,224435,0553564528,0.0,0.0,{'was_impossible': False},68,70,0.0
23787,112881,0425147363,0.0,0.0,{'was_impossible': False},110,61,0.0
4532,198711,0440184622,0.0,0.0,{'was_impossible': False},356,29,0.0
12268,238781,006109921X,0.0,0.0,{'was_impossible': False},181,45,0.0
4505,145451,0373825013,0.0,0.0,{'was_impossible': False},155,73,0.0
32729,208568,0440944597,6.0,0.0,{'was_impossible': False},32,25,6.0
10022,98741,0670894508,0.0,0.0,{'was_impossible': False},235,32,0.0
8922,142093,0440235162,0.0,0.0,{'was_impossible': False},60,72,0.0
6103,238120,044022473X,0.0,0.0,{'was_impossible': False},325,28,0.0
19410,251613,0449203794,0.0,0.0,{'was_impossible': False},130,42,0.0
20657,210792,0451146425,0.0,0.0,{'was_impossible': False},54,27,0.0
32715,76352,0425174271,0.0,0.0,{'was_impossible': False},487,46,0.0
5314,113519,0971880107,0.0,0.0,{'was_impossible': False},221,609,0.0
25441,73394,0971880107,0.0,0.0,{'was_impossible': False},233,609,0.0
3529,262399,0671795554,8.0,0.0,{'was_impossible': False},164,22,8.0
19422,212898,0446604232,0.0,0.0,{'was_impossible': False},194,51,0.0
599,36836,0449910237,0.0,0.0,{'was_impossible': False},160,49,0.0
30158,98741,044021422X,0.0,0.0,{'was_impossible': False},235,26,0.0
25442,91832,0671004565,0.0,0.0,{'was_impossible': False},94,72,0.0
12277,55492,0425191583,0.0,0.0,{'was_impossible': False},366,39,0.0
26726,11601,034541389X,0.0,0.0,{'was_impossible': False},187,70,0.0
4515,242361,0061099732,0.0,0.0,{'was_impossible': False},61,36,0.0
32753,76352,0821769340,0.0,0.0,{'was_impossible': False},487,36,0.0
14164,23768,0449907481,8.0,0.0,{'was_impossible': False},336,83,8.0
25474,23768,0679433740,0.0,0.0,{'was_impossible': False},336,35,0.0
10436,87746,068484477X,0.0,0.0,{'was_impossible': False},171,157,0.0
22720,37567,0971880107,0.0,0.0,{'was_impossible': False},22,609,0.0
14168,128208,0345447840,9.0,0.0,{'was_impossible': False},79,59,9.0
19361,55492,0449134482,0.0,0.0,{'was_impossible': False},366,59,0.0
8092,23768,0425184129,0.0,0.0,{'was_impossible': False},336,18,0.0
28808,76352,0425147517,0.0,0.0,{'was_impossible': False},487,52,0.0
17018,23768,0345389964,0.0,0.0,{'was_impossible': False},336,28,0.0
13124,55492,0440235154,0.0,0.0,{'was_impossible': False},366,28,0.0
22708,228998,0449227545,0.0,0.0,{'was_impossible': False},193,29,0.0
12274,186570,0671004565,0.0,0.0,{'was_impossible': False},96,72,0.0
3506,246655,0671673688,0.0,0.0,{'was_impossible': False},101,69,0.0
9743,150968,0553583956,0.0,0.0,{'was_impossible': False},110,35,0.0
30209,98741,0425184129,0.0,0.0,{'was_impossible': False},235,18,0.0
28767,23768,0316781266,0.0,0.0,{'was_impossible': False},336,81,0.0
2569,245963,0425098648,0.0,0.0,{'was_impossible': False},146,33,0.0
25533,254971,0446610178,0.0,0.0,{'was_impossible': False},91,31,0.0
8171,112881,1551660717,0.0,0.0,{'was_impossible': False},110,36,0.0
20747,243077,0971880107,0.0,0.0,{'was_impossible': False},28,609,0.0
2628,228998,0425177351,0.0,0.0,{'was_impossible': False},193,30,0.0
2627,241614,0380730138,0.0,0.0,{'was_impossible': False},40,122,0.0
26593,205735,0671670646,0.0,0.0,{'was_impossible': False},89,38,0.0
18321,245963,0553582755,0.0,0.0,{'was_impossible': False},146,71,0.0
28716,36836,0385324057,0.0,0.0,{'was_impossible': False},160,28,0.0
34078,234623,042510687X,0.0,0.0,{'was_impossible': False},235,44,0.0
31374,225810,042517736X,0.0,0.0,{'was_impossible': False},219,48,0.0
27873,159376,034538184X,0.0,0.0,{'was_impossible': False},46,55,0.0
32865,55492,0440224829,0.0,0.0,{'was_impossible': False},366,32,0.0
34085,145451,0451199685,0.0,0.0,{'was_impossible': False},155,26,0.0
9810,234623,0515121495,0.0,0.0,{'was_impossible': False},235,36,0.0
30293,175003,0743225724,0.0,0.0,{'was_impossible': False},292,23,0.0
28727,35050,0345335287,0.0,0.0,{'was_impossible': False},142,26,0.0
34075,212898,0590453653,0.0,0.0,{'was_impossible': False},194,29,0.0
8172,34864,0971880107,0.0,0.0,{'was_impossible': False},11,609,0.0
11476,52584,0679433740,0.0,0.0,{'was_impossible': False},317,35,0.0
750,242824,0440224861,0.0,0.0,{'was_impossible': False},108,38,0.0
21452,14521,0425147584,0.0,0.0,{'was_impossible': False},176,66,0.0
1560,87746,0425152251,0.0,0.0,{'was_impossible': False},171,74,0.0
12157,166123,0449227545,0.0,0.0,{'was_impossible': False},201,29,0.0
10343,245963,0679772677,0.0,0.0,{'was_impossible': False},146,64,0.0
4627,170518,0425174271,0.0,0.0,{'was_impossible': False},156,46,0.0
18335,44925,0971880107,0.0,0.0,{'was_impossible': False},14,609,0.0
31363,204522,0446604275,0.0,0.0,{'was_impossible': False},43,50,0.0
8181,159033,0440237416,0.0,0.0,{'was_impossible': False},161,21,0.0
25601,166123,0385334036,0.0,0.0,{'was_impossible': False},201,16,0.0
25597,235429,0425171396,0.0,0.0,{'was_impossible': False},24,22,0.0
16892,219546,0446611808,0.0,0.0,{'was_impossible': False},126,59,0.0
20765,198711,044661064X,0.0,0.0,{'was_impossible': False},356,51,0.0
28708,112026,0373250142,8.0,0.0,{'was_impossible': False},130,29,8.0
15793,128208,0446608653,0.0,0.0,{'was_impossible': False},79,43,0.0
19297,115120,0446354678,0.0,0.0,{'was_impossible': False},241,34,0.0
6911,142093,0670894184,0.0,0.0,{'was_impossible': False},60,51,0.0
16933,39646,055358264X,0.0,0.0,{'was_impossible': False},159,47,0.0
11453,69355,0446602213,0.0,0.0,{'was_impossible': False},100,38,0.0
1624,127429,1558744630,0.0,0.0,{'was_impossible': False},124,49,0.0
9786,145451,0440241537,0.0,0.0,{'was_impossible': False},155,76,0.0
22776,36836,0553099558,0.0,0.0,{'was_impossible': False},160,30,0.0
15687,170518,0440202043,0.0,0.0,{'was_impossible': False},156,71,0.0
14101,219546,0345409329,0.0,0.0,{'was_impossible': False},126,30,0.0
15686,35050,0345413903,0.0,0.0,{'was_impossible': False},142,78,0.0
1631,212898,0446606243,0.0,0.0,{'was_impossible': False},194,32,0.0
32805,242824,0440236851,0.0,0.0,{'was_impossible': False},108,47,0.0
16981,262399,0821769367,0.0,0.0,{'was_impossible': False},164,32,0.0
30279,14521,0449225151,0.0,0.0,{'was_impossible': False},176,33,0.0
18276,198711,0671888587,0.0,0.0,{'was_impossible': False},356,79,0.0
34150,52584,0446608602,0.0,0.0,{'was_impossible': False},317,34,0.0
30275,172030,0345422317,0.0,0.0,{'was_impossible': False},111,46,0.0
16984,36836,0316899984,0.0,0.0,{'was_impossible': False},160,88,0.0
6156,73394,1551669153,0.0,0.0,{'was_impossible': False},233,24,0.0
13167,76352,0425185710,0.0,0.0,{'was_impossible': False},487,42,0.0
31299,127429,014023313X,0.0,0.0,{'was_impossible': False},124,77,0.0
15706,238526,0440226104,0.0,0.0,{'was_impossible': False},71,122,0.0
25539,175003,0553571818,0.0,0.0,{'was_impossible': False},292,49,0.0
14066,98741,0671723650,0.0,0.0,{'was_impossible': False},235,32,0.0
25568,242824,0743418131,0.0,0.0,{'was_impossible': False},108,56,0.0
31403,145451,051510521X,0.0,0.0,{'was_impossible': False},155,33,0.0
15730,23768,0553575104,0.0,0.0,{'was_impossible': False},336,38,0.0
2598,238781,0451202341,9.0,0.0,{'was_impossible': False},181,70,9.0
21515,35050,0425109720,0.0,0.0,{'was_impossible': False},142,68,0.0
18301,129358,0451202317,0.0,0.0,{'was_impossible': False},88,36,0.0
4592,198711,0743436210,0.0,0.0,{'was_impossible': False},356,59,0.0
13177,198711,0440226414,0.0,0.0,{'was_impossible': False},356,34,0.0
26635,85701,042517736X,0.0,0.0,{'was_impossible': False},87,48,0.0
9795,167800,0743411250,0.0,0.0,{'was_impossible': False},104,62,0.0
20730,262399,0553575104,0.0,0.0,{'was_impossible': False},164,38,0.0
18291,145451,0743224574,0.0,0.0,{'was_impossible': False},155,61,0.0
15708,77940,0553583956,0.0,0.0,{'was_impossible': False},62,35,0.0
20727,238526,0425145638,0.0,0.0,{'was_impossible': False},71,57,0.0
1618,185233,0373218400,0.0,0.0,{'was_impossible': False},338,49,0.0
23903,76352,0553571818,0.0,0.0,{'was_impossible': False},487,49,0.0
22998,256167,0971880107,0.0,0.0,{'was_impossible': False},71,609,0.0
4761,23768,0670896764,7.0,0.0,{'was_impossible': False},336,19,7.0
33525,204522,0671670646,0.0,0.0,{'was_impossible': False},43,38,0.0
26054,198711,0553569031,0.0,0.0,{'was_impossible': False},356,51,0.0
1116,14521,0061098795,0.0,0.0,{'was_impossible': False},176,26,0.0
28127,166123,0425145638,0.0,0.0,{'was_impossible': False},201,57,0.0
10109,102967,0449910237,0.0,0.0,{'was_impossible': False},383,49,0.0
30812,79186,0425177351,0.0,0.0,{'was_impossible': False},87,30,0.0
33524,87746,0440221501,0.0,0.0,{'was_impossible': False},171,38,0.0
30810,36606,0786866276,0.0,0.0,{'was_impossible': False},247,29,0.0
30796,269719,0804106436,0.0,0.0,{'was_impossible': False},97,38,0.0
30794,173684,0425133540,0.0,0.0,{'was_impossible': False},37,82,0.0
28304,76352,0061013315,0.0,0.0,{'was_impossible': False},487,32,0.0
21239,76352,0440204208,0.0,0.0,{'was_impossible': False},487,28,0.0
1298,32773,0971880107,0.0,0.0,{'was_impossible': False},110,609,0.0
11940,212898,0671795554,0.0,0.0,{'was_impossible': False},194,22,0.0
28283,271284,0425133540,0.0,0.0,{'was_impossible': False},129,82,0.0
18753,150968,0553583980,0.0,0.0,{'was_impossible': False},110,45,0.0
33517,76352,0373825013,0.0,0.0,{'was_impossible': False},487,73,0.0
6573,225986,0971880107,0.0,0.0,{'was_impossible': False},30,609,0.0
8583,227447,0345404777,0.0,0.0,{'was_impossible': False},300,36,0.0
4956,130474,0786889616,0.0,0.0,{'was_impossible': False},197,22,0.0
6557,242824,0440211891,0.0,0.0,{'was_impossible': False},108,39,0.0
6558,184661,0971880107,0.0,0.0,{'was_impossible': False},9,609,0.0
33282,246655,0345311396,0.0,0.0,{'was_impossible': False},101,24,0.0
16490,266226,034538430X,0.0,0.0,{'was_impossible': False},132,51,0.0
31005,212898,0446354678,0.0,0.0,{'was_impossible': False},194,34,0.0
4950,238120,0449910237,0.0,0.0,{'was_impossible': False},325,49,0.0
8476,28204,0553572210,0.0,0.0,{'was_impossible': False},131,43,0.0
26263,41057,0971880107,0.0,0.0,{'was_impossible': False},18,609,0.0
10010,228998,0671023187,0.0,0.0,{'was_impossible': False},193,24,0.0
1288,87746,0446600474,0.0,0.0,{'was_impossible': False},171,33,0.0
16496,180586,0446604402,0.0,0.0,{'was_impossible': False},41,42,0.0
8469,245963,0446359866,0.0,0.0,{'was_impossible': False},146,102,0.0
4942,87143,0971880107,0.0,0.0,{'was_impossible': False},10,609,0.0
33546,212898,067155302X,0.0,0.0,{'was_impossible': False},194,32,0.0
33293,39616,0345422317,0.0,0.0,{'was_impossible': False},68,46,0.0
30790,76352,0446604402,0.0,0.0,{'was_impossible': False},487,42,0.0
6434,127429,0515103292,0.0,0.0,{'was_impossible': False},124,29,0.0
11778,50547,0345345738,0.0,0.0,{'was_impossible': False},23,29,0.0
16213,98741,0425165701,0.0,0.0,{'was_impossible': False},235,38,0.0
13691,23768,0375703063,8.0,0.0,{'was_impossible': False},336,73,8.0
33589,31919,0425172996,0.0,0.0,{'was_impossible': False},46,44,0.0
31049,98741,0804106436,0.0,0.0,{'was_impossible': False},235,38,0.0
2860,170518,044022165X,0.0,0.0,{'was_impossible': False},156,165,0.0
2872,36836,0385319037,0.0,0.0,{'was_impossible': False},160,24,0.0
16204,253821,0971880107,0.0,0.0,{'was_impossible': False},37,609,0.0
32071,55548,0446353205,0.0,0.0,{'was_impossible': False},128,45,0.0
13699,224435,0345404114,0.0,0.0,{'was_impossible': False},68,54,0.0
16569,61619,0316899984,0.0,0.0,{'was_impossible': False},102,88,0.0
31064,170518,0425171884,0.0,0.0,{'was_impossible': False},156,36,0.0
26007,203968,0553278029,0.0,0.0,{'was_impossible': False},93,47,0.0
21035,76352,0553578359,0.0,0.0,{'was_impossible': False},487,22,0.0
9990,69355,0425176932,0.0,0.0,{'was_impossible': False},100,25,0.0
18794,76352,0446606243,0.0,0.0,{'was_impossible': False},487,32,0.0
30756,143253,0670878847,0.0,0.0,{'was_impossible': False},106,30,0.0
33580,224435,0449223795,0.0,0.0,{'was_impossible': False},68,27,0.0
33247,76352,044023669X,0.0,0.0,{'was_impossible': False},487,36,0.0
26280,259264,0971880107,0.0,0.0,{'was_impossible': False},21,609,0.0
9997,228998,0451207521,0.0,0.0,{'was_impossible': False},193,45,0.0
18781,102967,0804106436,0.0,0.0,{'was_impossible': False},383,38,0.0
11953,191187,0140119906,0.0,0.0,{'was_impossible': False},45,84,0.0
28091,130474,0385421982,10.0,0.0,{'was_impossible': False},197,22,10.0
18579,228998,0061031429,0.0,0.0,{'was_impossible': False},193,28,0.0
3071,102967,0440218535,0.0,0.0,{'was_impossible': False},383,47,0.0
33227,57449,0971880107,0.0,0.0,{'was_impossible': False},17,609,0.0
33571,14521,0380817446,0.0,0.0,{'was_impossible': False},176,26,0.0
23377,98741,0345311396,0.0,0.0,{'was_impossible': False},235,24,0.0
26010,69042,0440237025,0.0,0.0,{'was_impossible': False},98,29,0.0
2874,238120,0451454243,0.0,0.0,{'was_impossible': False},325,34,0.0
21045,209536,0971880107,0.0,0.0,{'was_impossible': False},17,609,0.0
3078,55492,034537536X,0.0,0.0,{'was_impossible': False},366,25,0.0
3058,225810,0446603929,0.0,0.0,{'was_impossible': False},219,61,0.0
11840,178181,0671000306,0.0,0.0,{'was_impossible': False},54,31,0.0
26097,41667,0971880107,1.0,0.0,{'was_impossible': False},12,609,1.0
2907,224435,0345409329,0.0,0.0,{'was_impossible': False},68,30,0.0
33342,228998,039914563X,0.0,0.0,{'was_impossible': False},193,20,0.0
2962,102967,0425181111,0.0,0.0,{'was_impossible': False},383,16,0.0
8557,112765,0971880107,0.0,0.0,{'was_impossible': False},22,609,0.0
33415,73394,0440220793,0.0,0.0,{'was_impossible': False},233,34,0.0
